Entry	Entry name	Protein names	Taxonomic lineage (PHYLUM)	Taxonomic lineage (ORDER)	Taxonomic lineage (SPECIES)	Taxonomic lineage (FAMILY)
A0A139Q424	A0A139Q424_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139QPV4	A0A139QPV4_9STRE	Putative EsaC protein like protein (Putative EsaC-like protein (Listeria type 3))	Firmicutes	Lactobacillales	Streptococcus gallolyticus	Streptococcaceae
A0A139R795	A0A139R795_STRMT	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A140DTG7	A0A140DTG7_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Faecalibaculum rodentium	Erysipelotrichaceae
A0A140DVK2	A0A140DVK2_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Faecalibaculum rodentium	Erysipelotrichaceae
A0A142F186	A0A142F186_9CAUD	Uncharacterized protein	Uroviricota	Caudovirales	Bacillus virus Shbh1	Herelleviridae
A0A143WWT3	A0A143WWT3_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridiales bacterium CHKCI006	
A0A143WZ80	A0A143WZ80_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridiales bacterium CHKCI006	
A0A143XCV9	A0A143XCV9_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridiales bacterium CHKCI001	
A0A147KCQ0	A0A147KCQ0_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus coahuilensis	Bacillaceae
A0A147KCW7	A0A147KCW7_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus coahuilensis	Bacillaceae
A0A150AY88	A0A150AY88_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A150AYG2	A0A150AYG2_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A150B1G9	A0A150B1G9_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A150BNM9	A0A150BNM9_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A150BVA2	A0A150BVA2_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A150BXM2	A0A150BXM2_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A150EJ85	A0A150EJ85_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A150NGE5	A0A150NGE5_STRMT	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A150NNN9	A0A150NNN9_STRMT	Putative Esa-like protein (Listeria type 3) (Putative EsaC-like protein (Listeria type 3))	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A150NPU6	A0A150NPU6_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A158RHK0	A0A158RHK0_BACC3	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A160F358	A0A160F358_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Anoxybacillus amylolyticus	Bacillaceae
A0A160GWW9	A0A160GWW9_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A160GYH6	A0A160GYH6_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A160H1N0	A0A160H1N0_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A160H996	A0A160H996_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A160HBM2	A0A160HBM2_BACCE	Cytoplasmic protein (DUF4176 domain-containing protein) (EsaC protein-like protein (Listeria type 3))	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A160IR31	A0A160IR31_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Fictibacillus phosphorivorans	Bacillaceae
A0A161R107	A0A161R107_BACCE	Putative EsaC protein-like protein (Listeria type 3)	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A161TCM6	A0A161TCM6_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A161TN76	A0A161TN76_BACCE	Cytoplasmic protein (DUF4176 domain-containing protein) (Putative EsaC protein-like protein (Listeria type 3))	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A163E0D1	A0A163E0D1_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus glucanolyticus	Paenibacillaceae
A0A163L2N6	A0A163L2N6_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus glucanolyticus	Paenibacillaceae
A0A164KWM2	A0A164KWM2_BACCE	DUF4176 domain-containing protein (Putative Cytosolic Protein)	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A166IU45	A0A166IU45_LACLC	Putative EsaC protein-like (Listeria type 3)	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A166IUG3	A0A166IUG3_LACLC	Putative EsaC protein-like (Listeria type 3)	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A166J2S6	A0A166J2S6_LACLC	Putative EsaC protein-like (Listeria type 3)	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A166J7Q3	A0A166J7Q3_LACLC	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A166QDF6	A0A166QDF6_STAAU	DUF4176 domain-containing protein (EsaC protein) (EsaC protein analog (Listeria type 3)) (Type II secretion protein)	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A172Q500	A0A172Q500_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus pantholopis	Streptococcaceae
A0A172Q513	A0A172Q513_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus pantholopis	Streptococcaceae
A0A172Q515	A0A172Q515_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus pantholopis	Streptococcaceae
A0A172Q518	A0A172Q518_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus pantholopis	Streptococcaceae
A0A172Q623	A0A172Q623_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus pantholopis	Streptococcaceae
A0A172Q644	A0A172Q644_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus pantholopis	Streptococcaceae
A0A172Q9E5	A0A172Q9E5_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus pantholopis	Streptococcaceae
A0A173QZB0	A0A173QZB0_9FIRM	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Eubacteriales	Coprococcus comes	Lachnospiraceae
A0A173U2M3	A0A173U2M3_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	Coprococcus eutactus	Lachnospiraceae
A0A173VWD9	A0A173VWD9_9FIRM	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A173XR22	A0A173XR22_9FIRM	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Eubacteriales	[Ruminococcus] torques	Lachnospiraceae
A0A173Y5I7	A0A173Y5I7_9FIRM	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Eubacteriales	Faecalibacterium prausnitzii	Oscillospiraceae
A0A174A1Q5	A0A174A1Q5_SARVE	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	Sarcina ventriculi (Clostridium ventriculi)	Clostridiaceae
A0A174C6X3	A0A174C6X3_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	Coprococcus eutactus	Lachnospiraceae
A0A174EZV5	A0A174EZV5_9FIRM	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Eubacteriales	Roseburia inulinivorans	Lachnospiraceae
A0A174G3T7	A0A174G3T7_9CLOT	Lipoprotein	Firmicutes	Eubacteriales	Clostridium disporicum	Clostridiaceae
A0A174G7Q1	A0A174G7Q1_9CLOT	Glycoside hydrolase	Firmicutes	Eubacteriales	Clostridium disporicum	Clostridiaceae
A0A174ZDJ6	A0A174ZDJ6_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	[Eubacterium] siraeum	Oscillospiraceae
A0A174ZFV0	A0A174ZFV0_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	[Eubacterium] siraeum	Oscillospiraceae
A0A176J5D7	A0A176J5D7_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus sp. SJS	Bacillaceae
A0A178KGV5	A0A178KGV5_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. CCUG 49591	Streptococcaceae
A0A179EAS1	A0A179EAS1_STAAU	Cytosolic protein (DUF4176 domain-containing protein) (EsaC protein analog (Listeria type 3)) (Putative cytosolic protein)	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A193CP55	A0A193CP55_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A193CS36	A0A193CS36_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1B1IDA6	A0A1B1IDA6_9STRE	Type II secretion protein	Firmicutes	Lactobacillales	Streptococcus sp. oral taxon 064	Streptococcaceae
A0A1B1L4P7	A0A1B1L4P7_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1B2DWN3	A0A1B2DWN3_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus ihbetae	Paenibacillaceae
A0A1B2E9S7	A0A1B2E9S7_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus ihbetae	Paenibacillaceae
A0A1B8UUW0	A0A1B8UUW0_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. KS1	Paenibacillaceae
A0A1C3S987	A0A1C3S987_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus glycinifermentans	Bacillaceae
A0A1C3ST51	A0A1C3ST51_9LACT	EsaC-like protein (Modular protein)	Firmicutes	Lactobacillales	Lactococcus piscium	Streptococcaceae
A0A1C3SXG1	A0A1C3SXG1_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus piscium	Streptococcaceae
A0A1C3T0I9	A0A1C3T0I9_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1C4AKT6	A0A1C4AKT6_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus wiedmannii	Bacillaceae
A0A1C4B581	A0A1C4B581_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1C4B975	A0A1C4B975_BACMY	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1C4CRG6	A0A1C4CRG6_BACMY	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1C4CVG0	A0A1C4CVG0_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1C4EGR4	A0A1C4EGR4_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1C5UHQ1	A0A1C5UHQ1_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	uncultured Ruminococcus sp.	Oscillospiraceae
A0A1C5UVL8	A0A1C5UVL8_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	uncultured Coprococcus sp.	Lachnospiraceae
A0A1C5X9Q6	A0A1C5X9Q6_9CLOT	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	uncultured Clostridium sp.	Clostridiaceae
A0A1C5ZC83	A0A1C5ZC83_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	uncultured Roseburia sp.	Lachnospiraceae
A0A1C6F4N9	A0A1C6F4N9_9FIRM	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	uncultured Blautia sp.	Lachnospiraceae
A0A1C6K8N2	A0A1C6K8N2_9CLOT	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	uncultured Clostridium sp.	Clostridiaceae
A0A1C6KSA4	A0A1C6KSA4_9CLOT	Uncharacterized protein conserved in bacteria	Firmicutes	Eubacteriales	uncultured Clostridium sp.	Clostridiaceae
A0A1C7CQF4	A0A1C7CQF4_STRSL	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus salivarius	Streptococcaceae
A0A1C7HQV2	A0A1C7HQV2_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Erysipelotrichaceae bacterium I46	Erysipelotrichaceae
A0A1C9BWD8	A0A1C9BWD8_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1D3MLG2	A0A1D3MLG2_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1D3MUC6	A0A1D3MUC6_BACMY	Putative Cytosolic Protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1D3MUE7	A0A1D3MUE7_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1D3MVD1	A0A1D3MVD1_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1D3NJU3	A0A1D3NJU3_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1E1VHB6	A0A1E1VHB6_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. NAIST15-1	Paenibacillaceae
A0A1E5GCI6	A0A1E5GCI6_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus ureasiticus	Enterococcaceae
A0A1E5GPW6	A0A1E5GPW6_9ENTE	Uncharacterized protein (Fragment)	Firmicutes	Lactobacillales	Enterococcus termitis	Enterococcaceae
A0A1E5GR02	A0A1E5GR02_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus quebecensis	Enterococcaceae
A0A1E5GR33	A0A1E5GR33_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus quebecensis	Enterococcaceae
A0A1E5GR36	A0A1E5GR36_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus quebecensis	Enterococcaceae
A0A1E5GV10	A0A1E5GV10_9ENTE	Type II secretion protein	Firmicutes	Lactobacillales	Enterococcus quebecensis	Enterococcaceae
A0A1E5H057	A0A1E5H057_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus termitis	Enterococcaceae
A0A1E5H0M8	A0A1E5H0M8_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus termitis	Enterococcaceae
A0A1E5H0P5	A0A1E5H0P5_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus termitis	Enterococcaceae
A0A1E5HGP1	A0A1E5HGP1_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus ureilyticus	Enterococcaceae
A0A1E5K139	A0A1E5K139_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Oceanobacillus sp. E9	Bacillaceae
A0A1E5KUE1	A0A1E5KUE1_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus rivorum	Enterococcaceae
A0A1E5KUG1	A0A1E5KUG1_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus rivorum	Enterococcaceae
A0A1E5KUG6	A0A1E5KUG6_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus rivorum	Enterococcaceae
A0A1E5KUK5	A0A1E5KUK5_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus rivorum	Enterococcaceae
A0A1E5KUV8	A0A1E5KUV8_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus rivorum	Enterococcaceae
A0A1E5KV91	A0A1E5KV91_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus rivorum	Enterococcaceae
A0A1E7G5A9	A0A1E7G5A9_LACLC	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A1E7G5E0	A0A1E7G5E0_LACLC	Uncharacterized protein (Fragment)	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A1E7ZSP2	A0A1E7ZSP2_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1E8AYL7	A0A1E8AYL7_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1E8B8V4	A0A1E8B8V4_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1E8BCE1	A0A1E8BCE1_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1E8BVE8	A0A1E8BVE8_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1E8GCS4	A0A1E8GCS4_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Floricoccus penangensis	Streptococcaceae
A0A1E8GPT4	A0A1E8GPT4_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Floricoccus tropicus	Streptococcaceae
A0A1E8VRT7	A0A1E8VRT7_9ACTN	Uncharacterized protein	Actinobacteria	Coriobacteriales	Olsenella sp. HMSC062G07	Atopobiaceae
A0A1E8VSZ9	A0A1E8VSZ9_9ACTN	Uncharacterized protein	Actinobacteria	Coriobacteriales	Olsenella sp. HMSC062G07	Atopobiaceae
A0A1E9A957	A0A1E9A957_9STAP	Type II secretion protein	Firmicutes	Bacillales	Staphylococcus sp. HMSC071G07	Staphylococcaceae
A0A1F0B5N8	A0A1F0B5N8_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC077D04	Streptococcaceae
A0A1F0BNQ4	A0A1F0BNQ4_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC070B10	Streptococcaceae
A0A1F0BNS4	A0A1F0BNS4_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC070B10	Streptococcaceae
A0A1F0BVZ5	A0A1F0BVZ5_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC070B10	Streptococcaceae
A0A1F0CFN4	A0A1F0CFN4_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC069D09	Streptococcaceae
A0A1F0CGG5	A0A1F0CGG5_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC069D09	Streptococcaceae
A0A1F0ZSA6	A0A1F0ZSA6_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC061E03	Streptococcaceae
A0A1F0ZSG2	A0A1F0ZSG2_9STRE	Type II secretion protein	Firmicutes	Lactobacillales	Streptococcus sp. HMSC061E03	Streptococcaceae
A0A1G5BFZ0	A0A1G5BFZ0_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium XPB1003	Lachnospiraceae
A0A1G5BG41	A0A1G5BG41_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium XPB1003	Lachnospiraceae
A0A1G5BGH4	A0A1G5BGH4_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium XPB1003	Lachnospiraceae
A0A1G5I5B2	A0A1G5I5B2_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium XBB2008	Lachnospiraceae
A0A1G5I6E2	A0A1G5I6E2_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium XBB2008	Lachnospiraceae
A0A1G5L9H0	A0A1G5L9H0_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus polysaccharolyticus	Paenibacillaceae
A0A1G6D3U4	A0A1G6D3U4_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudobutyrivibrio sp. YE44	Lachnospiraceae
A0A1G6D4P7	A0A1G6D4P7_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudobutyrivibrio sp. YE44	Lachnospiraceae
A0A1G6HP65	A0A1G6HP65_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Alkalihalobacillus lonarensis	Bacillaceae
A0A1G6KZT3	A0A1G6KZT3_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus halophilus	Bacillaceae
A0A1G6KZX6	A0A1G6KZX6_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus halophilus	Bacillaceae
A0A1G6L007	A0A1G6L007_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus halophilus	Bacillaceae
A0A1G7DBL1	A0A1G7DBL1_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus wiedmannii	Bacillaceae
A0A1G7EL10	A0A1G7EL10_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. cl6col	Paenibacillaceae
A0A1G9BDD6	A0A1G9BDD6_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9BE83	A0A1G9BE83_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9DM15	A0A1G9DM15_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9DM28	A0A1G9DM28_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9DM92	A0A1G9DM92_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9DMG3	A0A1G9DMG3_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9DMI1	A0A1G9DMI1_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9DMK4	A0A1G9DMK4_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9DMP8	A0A1G9DMP8_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Sarcina sp. DSM 11001	Clostridiaceae
A0A1G9ID11	A0A1G9ID11_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1G9LQX3	A0A1G9LQX3_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1G9MDL2	A0A1G9MDL2_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1G9YNB9	A0A1G9YNB9_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Fictibacillus solisalsi	Bacillaceae
A0A1H0KZU8	A0A1H0KZU8_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0MA71	A0A1H0MA71_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0MAL4	A0A1H0MAL4_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0MBE4	A0A1H0MBE4_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0MBU1	A0A1H0MBU1_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0MEG3	A0A1H0MEG3_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0MEZ6	A0A1H0MEZ6_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0ND66	A0A1H0ND66_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0ND88	A0A1H0ND88_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0P5I1	A0A1H0P5I1_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0PZW0	A0A1H0PZW0_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0R7K8	A0A1H0R7K8_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0RBQ3	A0A1H0RBQ3_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A1H0UT36	A0A1H0UT36_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. NLAE-zl-C503	Streptococcaceae
A0A1H0UU44	A0A1H0UU44_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. NLAE-zl-C503	Streptococcaceae
